"Barcode","Genes"
"s_008um_00258_00106-1","SFRP4"
"s_008um_00149_00360-1","SFRP4"
"s_008um_00227_00392-1","SFRP4"
"s_008um_00406_00380-1","SFRP4"
"s_008um_00321_00149-1","SFRP4"
"s_008um_00233_00420-1","SFRP4"
"s_008um_00345_00348-1","SFRP4"
"s_008um_00241_00317-1","SFRP4"
"s_008um_00370_00296-1","SFRP4"
"s_008um_00189_00319-1","SFRP4"
"s_008um_00418_00288-1","SFRP4"
"s_008um_00252_00380-1","SFRP4"
"s_008um_00016_00060-1","SFRP4"
"s_008um_00414_00160-1","SFRP4"
"s_008um_00392_00115-1","SFRP4"
"s_008um_00337_00087-1","SFRP4"
"s_008um_00361_00074-1","SFRP4"
"s_008um_00445_00458-1","SFRP4"
"s_008um_00421_00370-1","SFRP4"
"s_008um_00223_00298-1","SFRP4"
"s_008um_00338_00347-1","SFRP4"
"s_008um_00453_00313-1","SFRP4"
"s_008um_00381_00213-1","SFRP4"
"s_008um_00387_00431-1","SFRP4"
"s_008um_00350_00303-1","SFRP4"
"s_008um_00238_00316-1","SFRP4"
"s_008um_00231_00140-1","SFRP4"
"s_008um_00132_00404-1","SFRP4"
"s_008um_00236_00129-1","SFRP4"
"s_008um_00258_00048-1","SFRP4"
"s_008um_00602_00068-1","SFRP4"
"s_008um_00297_00405-1","SFRP4"
"s_008um_00257_00383-1","SFRP4"
"s_008um_00431_00563-1","SFRP4"
"s_008um_00167_00243-1","SFRP4"
"s_008um_00189_00293-1","SFRP4"
"s_008um_00242_00383-1","SFRP4"
"s_008um_00403_00178-1","SFRP4"
"s_008um_00405_00138-1","SFRP4"
"s_008um_00214_00330-1","SFRP4"
"s_008um_00368_00075-1","SFRP4"
"s_008um_00362_00151-1","SFRP4"
"s_008um_00351_00402-1","SFRP4"
"s_008um_00421_00130-1","SFRP4"
"s_008um_00210_00120-1","SFRP4"
"s_008um_00433_00185-1","SFRP4"
"s_008um_00336_00382-1","SFRP4"
"s_008um_00305_00394-1","SFRP4"
"s_008um_00407_00191-1","SFRP4"
"s_008um_00188_00031-1","SFRP4"
"s_008um_00346_00386-1","SFRP4"
"s_008um_00393_00400-1","SFRP4"
