"Barcode","Genes"
"s_008um_00433_00281-1","MMP11"
"s_008um_00599_00710-1","MMP11"
"s_008um_00506_00232-1","MMP11"
"s_008um_00249_00812-1","MMP11"
"s_008um_00750_00489-1","MMP11"
"s_008um_00360_00377-1","MMP11"
"s_008um_00406_00380-1","MMP11"
"s_008um_00511_00215-1","MMP11"
"s_008um_00533_00729-1","MMP11"
"s_008um_00478_00327-1","MMP11"
"s_008um_00403_00285-1","MMP11"
"s_008um_00485_00648-1","MMP11"
"s_008um_00259_00737-1","MMP11"
"s_008um_00241_00317-1","MMP11"
"s_008um_00318_00331-1","MMP11"
"s_008um_00531_00617-1","MMP11"
"s_008um_00622_00140-1","MMP11"
"s_008um_00414_00160-1","MMP11"
"s_008um_00511_00400-1","MMP11"
"s_008um_00477_00759-1","MMP11"
"s_008um_00409_00759-1","MMP11"
"s_008um_00238_00316-1","MMP11"
"s_008um_00231_00140-1","MMP11"
"s_008um_00429_00455-1","MMP11"
"s_008um_00123_00713-1","MMP11"
"s_008um_00203_00182-1","MMP11"
"s_008um_00236_00129-1","MMP11"
"s_008um_00179_00216-1","MMP11"
"s_008um_00496_00619-1","MMP11"
"s_008um_00431_00563-1","MMP11"
"s_008um_00445_00243-1","MMP11"
"s_008um_00346_00097-1","MMP11"
"s_008um_00488_00557-1","MMP11"
"s_008um_00393_00208-1","MMP11"
"s_008um_00675_00771-1","MMP11"
"s_008um_00589_00265-1","MMP11"
"s_008um_00351_00402-1","MMP11"
"s_008um_00413_00357-1","MMP11"
"s_008um_00736_00504-1","MMP11"
"s_008um_00528_00423-1","MMP11"
"s_008um_00530_00657-1","MMP11"
"s_008um_00281_00349-1","MMP11"
"s_008um_00457_00032-1","MMP11"
"s_008um_00375_00391-1","MMP11"
"s_008um_00296_00732-1","MMP11"
"s_008um_00605_00164-1","MMP11"
"s_008um_00503_00192-1","MMP11"
"s_008um_00393_00400-1","MMP11"
"s_008um_00631_00676-1","MMP11"
"s_008um_00478_00322-1","MMP11"
"s_008um_00621_00712-1","MMP11"
"s_008um_00404_00379-1","MMP11"
"s_008um_00234_00302-1","MMP11"
"s_008um_00470_00747-1","MMP11"
"s_008um_00242_00142-1","MMP11"
"s_008um_00635_00259-1","MMP11"
"s_008um_00602_00245-1","MMP11"
"s_008um_00186_00146-1","MMP11"
"s_008um_00289_00227-1","MMP11"
"s_008um_00429_00348-1","MMP11"
"s_008um_00221_00679-1","MMP11"
"s_008um_00328_00114-1","MMP11"
"s_008um_00516_00060-1","MMP11"
"s_008um_00626_00616-1","MMP11"
"s_008um_00580_00286-1","MMP11"
"s_008um_00271_00142-1","MMP11"
"s_008um_00303_00078-1","MMP11"
"s_008um_00284_00376-1","MMP11"
"s_008um_00317_00169-1","MMP11"
"s_008um_00437_00648-1","MMP11"
"s_008um_00379_00346-1","MMP11"
"s_008um_00570_00220-1","MMP11"
"s_008um_00542_00289-1","MMP11"
"s_008um_00645_00728-1","MMP11"
"s_008um_00510_00090-1","MMP11"
"s_008um_00258_00087-1","MMP11"
"s_008um_00425_00249-1","MMP11"
"s_008um_00480_00275-1","MMP11"
"s_008um_00438_00205-1","MMP11"
"s_008um_00376_00416-1","MMP11"
"s_008um_00345_00315-1","MMP11"
"s_008um_00694_00452-1","MMP11"
"s_008um_00563_00119-1","MMP11"
"s_008um_00696_00574-1","MMP11"
"s_008um_00205_00166-1","MMP11"
"s_008um_00329_00134-1","MMP11"
"s_008um_00624_00576-1","MMP11"
"s_008um_00503_00284-1","MMP11"
"s_008um_00591_00159-1","MMP11"
"s_008um_00377_00159-1","MMP11"
"s_008um_00518_00625-1","MMP11"
"s_008um_00485_00414-1","MMP11"
"s_008um_00454_00327-1","MMP11"
"s_008um_00418_00280-1","MMP11"
"s_008um_00388_00221-1","MMP11"
"s_008um_00457_00766-1","MMP11"
"s_008um_00616_00418-1","MMP11"
"s_008um_00701_00572-1","MMP11"
"s_008um_00613_00653-1","MMP11"
"s_008um_00183_00238-1","MMP11"
"s_008um_00170_00183-1","MMP11"
"s_008um_00378_00395-1","MMP11"
"s_008um_00282_00258-1","MMP11"
"s_008um_00365_00376-1","MMP11"
"s_008um_00002_00769-1","MMP11"
"s_008um_00199_00147-1","MMP11"
"s_008um_00590_00569-1","MMP11"
"s_008um_00335_00469-1","MMP11"
"s_008um_00341_00303-1","MMP11"
"s_008um_00470_00247-1","MMP11"
"s_008um_00373_00391-1","MMP11"
"s_008um_00438_00650-1","MMP11"
"s_008um_00336_00376-1","MMP11"
"s_008um_00325_00197-1","MMP11"
"s_008um_00485_00060-1","MMP11"
"s_008um_00634_00650-1","MMP11"
"s_008um_00304_00346-1","MMP11"
"s_008um_00115_00693-1","MMP11"
"s_008um_00057_00755-1","MMP11"
"s_008um_00588_00808-1","MMP11"
"s_008um_00256_00043-1","MMP11"
"s_008um_00172_00183-1","MMP11"
"s_008um_00142_00633-1","MMP11"
"s_008um_00307_00714-1","MMP11"
"s_008um_00169_00005-1","MMP11"
"s_008um_00319_00236-1","MMP11"
"s_008um_00438_00322-1","MMP11"
"s_008um_00250_00332-1","MMP11"
"s_008um_00303_00361-1","MMP11"
"s_008um_00564_00264-1","MMP11"
"s_008um_00273_00814-1","MMP11"
"s_008um_00532_00056-1","MMP11"
"s_008um_00316_00058-1","MMP11"
"s_008um_00365_00393-1","MMP11"
"s_008um_00595_00336-1","MMP11"
"s_008um_00232_00162-1","MMP11"
"s_008um_00277_00312-1","MMP11"
"s_008um_00567_00216-1","MMP11"
"s_008um_00279_00073-1","MMP11"
"s_008um_00329_00064-1","MMP11"
"s_008um_00049_00773-1","MMP11"
"s_008um_00271_00145-1","MMP11"
"s_008um_00479_00609-1","MMP11"
"s_008um_00234_00152-1","MMP11"
"s_008um_00358_00152-1","MMP11"
