"Barcode","Genes"
"s_008um_00372_00569-1","TIMP3"
"s_008um_00251_00316-1","TIMP3"
"s_008um_00298_00062-1","TIMP3"
"s_008um_00381_00220-1","TIMP3"
"s_008um_00421_00184-1","TIMP3"
"s_008um_00453_00297-1","TIMP3"
"s_008um_00096_00805-1","TIMP3"
"s_008um_00623_00485-1","TIMP3"
"s_008um_00272_00388-1","TIMP3"
"s_008um_00303_00788-1","TIMP3"
"s_008um_00312_00806-1","TIMP3"
"s_008um_00066_00713-1","TIMP3"
"s_008um_00427_00324-1","TIMP3"
"s_008um_00264_00749-1","TIMP3"
"s_008um_00402_00334-1","TIMP3"
"s_008um_00474_00224-1","TIMP3"
"s_008um_00280_00819-1","TIMP3"
"s_008um_00349_00317-1","TIMP3"
"s_008um_00589_00385-1","TIMP3"
"s_008um_00082_00473-1","TIMP3"
"s_008um_00409_00721-1","TIMP3"
"s_008um_00691_00454-1","TIMP3"
"s_008um_00346_00226-1","TIMP3"
"s_008um_00542_00558-1","TIMP3"
"s_008um_00603_00235-1","TIMP3"
"s_008um_00360_00728-1","TIMP3"
"s_008um_00564_00267-1","TIMP3"
"s_008um_00422_00255-1","TIMP3"
"s_008um_00289_00075-1","TIMP3"
"s_008um_00557_00016-1","TIMP3"
"s_008um_00086_00525-1","TIMP3"
"s_008um_00337_00703-1","TIMP3"
"s_008um_00177_00314-1","TIMP3"
"s_008um_00423_00265-1","TIMP3"
"s_008um_00390_00200-1","TIMP3"
"s_008um_00367_00709-1","TIMP3"
"s_008um_00268_00747-1","TIMP3"
"s_008um_00285_00828-1","TIMP3"
"s_008um_00403_00488-1","TIMP3"
"s_008um_00281_00392-1","TIMP3"
"s_008um_00383_00324-1","TIMP3"
"s_008um_00165_00751-1","TIMP3"
"s_008um_00292_00152-1","TIMP3"
"s_008um_00360_00366-1","TIMP3"
"s_008um_00265_00767-1","TIMP3"
"s_008um_00671_00700-1","TIMP3"
"s_008um_00561_00542-1","TIMP3"
"s_008um_00375_00193-1","TIMP3"
"s_008um_00319_00563-1","TIMP3"
"s_008um_00211_00278-1","TIMP3"
"s_008um_00128_00644-1","TIMP3"
"s_008um_00298_00367-1","TIMP3"
"s_008um_00335_00284-1","TIMP3"
"s_008um_00274_00675-1","TIMP3"
"s_008um_00202_00049-1","TIMP3"
"s_008um_00499_00421-1","TIMP3"
"s_008um_00390_00161-1","TIMP3"
"s_008um_00511_00060-1","TIMP3"
