"Barcode","Genes"
"s_008um_00199_00114-1","MGP"
"s_008um_00247_00403-1","MGP"
"s_008um_00118_00056-1","MGP"
"s_008um_00215_00077-1","MGP"
"s_008um_00063_00477-1","MGP"
"s_008um_00371_00276-1","MGP"
"s_008um_00086_00446-1","MGP"
"s_008um_00308_00422-1","MGP"
"s_008um_00065_00203-1","MGP"
"s_008um_00272_00433-1","MGP"
"s_008um_00342_00136-1","MGP"
"s_008um_00131_00309-1","MGP"
"s_008um_00494_00610-1","MGP"
"s_008um_00275_00396-1","MGP"
"s_008um_00598_00771-1","MGP"
"s_008um_00336_00284-1","MGP"
"s_008um_00170_00038-1","MGP"
"s_008um_00166_00291-1","MGP"
"s_008um_00157_00273-1","MGP"
"s_008um_00319_00075-1","MGP"
"s_008um_00058_00341-1","MGP"
"s_008um_00197_00338-1","MGP"
"s_008um_00389_00306-1","MGP"
"s_008um_00171_00369-1","MGP"
"s_008um_00587_00743-1","MGP"
"s_008um_00073_00401-1","MGP"
"s_008um_00007_00262-1","MGP"
"s_008um_00387_00083-1","MGP"
"s_008um_00291_00420-1","MGP"
"s_008um_00514_00297-1","MGP"
"s_008um_00532_00737-1","MGP"
"s_008um_00162_00115-1","MGP"
"s_008um_00152_00202-1","MGP"
"s_008um_00206_00170-1","MGP"
"s_008um_00215_00221-1","MGP"
"s_008um_00580_00003-1","MGP"
"s_008um_00261_00384-1","MGP"
"s_008um_00141_00297-1","MGP"
"s_008um_00176_00349-1","MGP"
"s_008um_00421_00033-1","MGP"
"s_008um_00595_00166-1","MGP"
"s_008um_00429_00282-1","MGP"
"s_008um_00263_00384-1","MGP"
"s_008um_00111_00075-1","MGP"
"s_008um_00304_00310-1","MGP"
"s_008um_00123_00163-1","MGP"
"s_008um_00122_00315-1","MGP"
"s_008um_00191_00402-1","MGP"
"s_008um_00593_00720-1","MGP"
"s_008um_00207_00110-1","MGP"
"s_008um_00077_00671-1","MGP"
"s_008um_00146_00202-1","MGP"
"s_008um_00025_00222-1","MGP"
"s_008um_00202_00098-1","MGP"
"s_008um_00155_00455-1","MGP"
"s_008um_00295_00402-1","MGP"
"s_008um_00288_00431-1","MGP"
"s_008um_00262_00713-1","MGP"
"s_008um_00157_00134-1","MGP"
"s_008um_00286_00407-1","MGP"
"s_008um_00173_00081-1","MGP"
"s_008um_00396_00025-1","MGP"
"s_008um_00013_00734-1","MGP"
"s_008um_00386_00458-1","MGP"
"s_008um_00602_00790-1","MGP"
"s_008um_00147_00024-1","MGP"
"s_008um_00319_00152-1","MGP"
"s_008um_00434_00263-1","MGP"
"s_008um_00231_00336-1","MGP"
"s_008um_00027_00477-1","MGP"
"s_008um_00410_00438-1","MGP"
"s_008um_00757_00503-1","MGP"
"s_008um_00007_00485-1","MGP"
"s_008um_00196_00074-1","MGP"
"s_008um_00110_00007-1","MGP"
"s_008um_00273_00420-1","MGP"
"s_008um_00213_00137-1","MGP"
"s_008um_00266_00417-1","MGP"
"s_008um_00525_00740-1","MGP"
"s_008um_00144_00058-1","MGP"
"s_008um_00618_00467-1","MGP"
"s_008um_00198_00348-1","MGP"
"s_008um_00350_00328-1","MGP"
"s_008um_00441_00481-1","MGP"
"s_008um_00355_00611-1","MGP"
"s_008um_00426_00127-1","MGP"
"s_008um_00425_00247-1","MGP"
"s_008um_00646_00736-1","MGP"
"s_008um_00187_00392-1","MGP"
"s_008um_00373_00344-1","MGP"
"s_008um_00346_00033-1","MGP"
"s_008um_00155_00068-1","MGP"
"s_008um_00397_00473-1","MGP"
"s_008um_00258_00005-1","MGP"
"s_008um_00090_00325-1","MGP"
"s_008um_00375_00570-1","MGP"
"s_008um_00070_00325-1","MGP"
"s_008um_00297_00403-1","MGP"
"s_008um_00078_00459-1","MGP"
"s_008um_00272_00143-1","MGP"
"s_008um_00202_00651-1","MGP"
"s_008um_00240_00391-1","MGP"
"s_008um_00131_00695-1","MGP"
"s_008um_00196_00351-1","MGP"
"s_008um_00011_00728-1","MGP"
"s_008um_00054_00181-1","MGP"
"s_008um_00079_00123-1","MGP"
"s_008um_00593_00776-1","MGP"
"s_008um_00211_00108-1","MGP"
"s_008um_00323_00149-1","MGP"
"s_008um_00579_00379-1","MGP"
"s_008um_00327_00122-1","MGP"
"s_008um_00264_00413-1","MGP"
"s_008um_00387_00548-1","MGP"
"s_008um_00599_00710-1","MGP"
"s_008um_00368_00479-1","MGP"
"s_008um_00646_00744-1","MGP"
"s_008um_00084_00491-1","MGP"
"s_008um_00506_00232-1","MGP"
"s_008um_00227_00392-1","MGP"
"s_008um_00164_00417-1","MGP"
"s_008um_00109_00276-1","MGP"
"s_008um_00396_00443-1","MGP"
"s_008um_00248_00381-1","MGP"
"s_008um_00015_00083-1","MGP"
"s_008um_00162_00081-1","MGP"
"s_008um_00210_00344-1","MGP"
"s_008um_00005_00414-1","MGP"
"s_008um_00233_00420-1","MGP"
"s_008um_00148_00021-1","MGP"
"s_008um_00067_00196-1","MGP"
"s_008um_00189_00319-1","MGP"
"s_008um_00235_00412-1","MGP"
"s_008um_00031_00447-1","MGP"
"s_008um_00252_00380-1","MGP"
"s_008um_00621_00447-1","MGP"
"s_008um_00067_00257-1","MGP"
"s_008um_00044_00223-1","MGP"
"s_008um_00251_00354-1","MGP"
"s_008um_00016_00060-1","MGP"
"s_008um_00321_00370-1","MGP"
"s_008um_00284_00465-1","MGP"
"s_008um_00332_00386-1","MGP"
"s_008um_00001_00134-1","MGP"
"s_008um_00582_00737-1","MGP"
"s_008um_00627_00621-1","MGP"
"s_008um_00309_00105-1","MGP"
"s_008um_00198_00697-1","MGP"
"s_008um_00404_00110-1","MGP"
"s_008um_00282_00398-1","MGP"
"s_008um_00234_00364-1","MGP"
"s_008um_00149_00274-1","MGP"
"s_008um_00569_00688-1","MGP"
"s_008um_00145_00200-1","MGP"
"s_008um_00338_00347-1","MGP"
"s_008um_00136_00256-1","MGP"
"s_008um_00381_00213-1","MGP"
"s_008um_00350_00303-1","MGP"
"s_008um_00304_00364-1","MGP"
"s_008um_00238_00316-1","MGP"
"s_008um_00313_00369-1","MGP"
"s_008um_00231_00140-1","MGP"
"s_008um_00009_00393-1","MGP"
"s_008um_00132_00404-1","MGP"
"s_008um_00102_00222-1","MGP"
"s_008um_00202_00359-1","MGP"
"s_008um_00236_00393-1","MGP"
"s_008um_00250_00444-1","MGP"
"s_008um_00155_00144-1","MGP"
"s_008um_00297_00405-1","MGP"
"s_008um_00422_00292-1","MGP"
"s_008um_00257_00383-1","MGP"
"s_008um_00064_00206-1","MGP"
"s_008um_00445_00243-1","MGP"
"s_008um_00163_00256-1","MGP"
"s_008um_00760_00505-1","MGP"
"s_008um_00189_00293-1","MGP"
"s_008um_00242_00383-1","MGP"
"s_008um_00403_00178-1","MGP"
"s_008um_00066_00425-1","MGP"
"s_008um_00214_00330-1","MGP"
"s_008um_00368_00075-1","MGP"
"s_008um_00222_00125-1","MGP"
"s_008um_00372_00424-1","MGP"
"s_008um_00421_00130-1","MGP"
"s_008um_00433_00185-1","MGP"
"s_008um_00002_00203-1","MGP"
"s_008um_00405_00456-1","MGP"
"s_008um_00168_00374-1","MGP"
"s_008um_00336_00382-1","MGP"
"s_008um_00510_00456-1","MGP"
"s_008um_00191_00093-1","MGP"
"s_008um_00203_00074-1","MGP"
"s_008um_00161_00454-1","MGP"
"s_008um_00434_00281-1","MGP"
"s_008um_00214_00112-1","MGP"
"s_008um_00225_00633-1","MGP"
"s_008um_00387_00117-1","MGP"
"s_008um_00546_00717-1","MGP"
"s_008um_00425_00145-1","MGP"
"s_008um_00558_00054-1","MGP"
"s_008um_00590_00667-1","MGP"
"s_008um_00144_00422-1","MGP"
"s_008um_00197_00411-1","MGP"
"s_008um_00169_00162-1","MGP"
"s_008um_00396_00143-1","MGP"
"s_008um_00449_00488-1","MGP"
"s_008um_00222_00311-1","MGP"
"s_008um_00514_00555-1","MGP"
"s_008um_00372_00325-1","MGP"
"s_008um_00127_00006-1","MGP"
"s_008um_00259_00834-1","MGP"
"s_008um_00129_00387-1","MGP"
"s_008um_00499_00241-1","MGP"
"s_008um_00621_00658-1","MGP"
"s_008um_00236_00399-1","MGP"
"s_008um_00202_00297-1","MGP"
"s_008um_00221_00814-1","MGP"
"s_008um_00221_00679-1","MGP"
"s_008um_00328_00114-1","MGP"
"s_008um_00085_00295-1","MGP"
"s_008um_00146_00396-1","MGP"
"s_008um_00335_00352-1","MGP"
"s_008um_00176_00399-1","MGP"
"s_008um_00238_00375-1","MGP"
"s_008um_00392_00320-1","MGP"
"s_008um_00438_00128-1","MGP"
"s_008um_00328_00363-1","MGP"
"s_008um_00559_00742-1","MGP"
"s_008um_00239_00423-1","MGP"
"s_008um_00272_00445-1","MGP"
"s_008um_00073_00483-1","MGP"
"s_008um_00379_00346-1","MGP"
"s_008um_00271_00423-1","MGP"
"s_008um_00570_00220-1","MGP"
"s_008um_00166_00143-1","MGP"
"s_008um_00153_00072-1","MGP"
"s_008um_00238_00423-1","MGP"
"s_008um_00153_00274-1","MGP"
"s_008um_00270_00473-1","MGP"
"s_008um_00273_00381-1","MGP"
"s_008um_00510_00090-1","MGP"
"s_008um_00002_00255-1","MGP"
"s_008um_00343_00104-1","MGP"
"s_008um_00160_00032-1","MGP"
"s_008um_00169_00081-1","MGP"
"s_008um_00187_00393-1","MGP"
"s_008um_00351_00072-1","MGP"
"s_008um_00376_00416-1","MGP"
"s_008um_00129_00249-1","MGP"
"s_008um_00460_00066-1","MGP"
"s_008um_00164_00297-1","MGP"
"s_008um_00099_00021-1","MGP"
"s_008um_00184_00388-1","MGP"
"s_008um_00602_00427-1","MGP"
"s_008um_00098_00804-1","MGP"
"s_008um_00179_00823-1","MGP"
"s_008um_00430_00363-1","MGP"
"s_008um_00356_00364-1","MGP"
"s_008um_00543_00539-1","MGP"
"s_008um_00222_00068-1","MGP"
"s_008um_00329_00428-1","MGP"
"s_008um_00391_00778-1","MGP"
"s_008um_00386_00457-1","MGP"
"s_008um_00409_00408-1","MGP"
"s_008um_00112_00371-1","MGP"
"s_008um_00329_00152-1","MGP"
"s_008um_00150_00001-1","MGP"
"s_008um_00137_00415-1","MGP"
"s_008um_00213_00281-1","MGP"
"s_008um_00398_00150-1","MGP"
"s_008um_00217_00326-1","MGP"
"s_008um_00421_00534-1","MGP"
"s_008um_00084_00013-1","MGP"
"s_008um_00467_00474-1","MGP"
"s_008um_00281_00395-1","MGP"
"s_008um_00274_00394-1","MGP"
"s_008um_00163_00122-1","MGP"
"s_008um_00197_00056-1","MGP"
"s_008um_00013_00066-1","MGP"
"s_008um_00223_00126-1","MGP"
"s_008um_00151_00190-1","MGP"
