"Barcode","Genes"
"s_008um_00133_00755-1","CXCL14"
"s_008um_00382_00689-1","CXCL14"
"s_008um_00534_00702-1","CXCL14"
"s_008um_00373_00709-1","CXCL14"
"s_008um_00358_00378-1","CXCL14"
"s_008um_00404_00717-1","CXCL14"
"s_008um_00053_00717-1","CXCL14"
"s_008um_00565_00165-1","CXCL14"
"s_008um_00351_00100-1","CXCL14"
"s_008um_00327_00691-1","CXCL14"
"s_008um_00378_00689-1","CXCL14"
"s_008um_00216_00035-1","CXCL14"
"s_008um_00248_00750-1","CXCL14"
"s_008um_00588_00774-1","CXCL14"
"s_008um_00260_00117-1","CXCL14"
"s_008um_00341_00267-1","CXCL14"
"s_008um_00195_00018-1","CXCL14"
"s_008um_00420_00239-1","CXCL14"
"s_008um_00399_00765-1","CXCL14"
"s_008um_00347_00250-1","CXCL14"
"s_008um_00227_00732-1","CXCL14"
"s_008um_00581_00445-1","CXCL14"
"s_008um_00730_00500-1","CXCL14"
"s_008um_00172_00683-1","CXCL14"
"s_008um_00657_00650-1","CXCL14"
"s_008um_00461_00002-1","CXCL14"
"s_008um_00283_00665-1","CXCL14"
"s_008um_00661_00738-1","CXCL14"
"s_008um_00482_00673-1","CXCL14"
"s_008um_00388_00771-1","CXCL14"
"s_008um_00574_00019-1","CXCL14"
"s_008um_00303_00119-1","CXCL14"
"s_008um_00425_00625-1","CXCL14"
"s_008um_00656_00570-1","CXCL14"
"s_008um_00198_00013-1","CXCL14"
"s_008um_00192_00822-1","CXCL14"
"s_008um_00521_00691-1","CXCL14"
"s_008um_00232_00747-1","CXCL14"
"s_008um_00476_00684-1","CXCL14"
"s_008um_00342_00136-1","CXCL14"
"s_008um_00711_00721-1","CXCL14"
"s_008um_00220_00696-1","CXCL14"
"s_008um_00700_00566-1","CXCL14"
"s_008um_00594_00471-1","CXCL14"
"s_008um_00368_00714-1","CXCL14"
"s_008um_00415_00526-1","CXCL14"
"s_008um_00412_00563-1","CXCL14"
"s_008um_00253_00073-1","CXCL14"
"s_008um_00384_00703-1","CXCL14"
"s_008um_00153_00675-1","CXCL14"
"s_008um_00412_00607-1","CXCL14"
"s_008um_00249_00284-1","CXCL14"
"s_008um_00220_00695-1","CXCL14"
"s_008um_00637_00621-1","CXCL14"
"s_008um_00311_00359-1","CXCL14"
"s_008um_00205_00026-1","CXCL14"
"s_008um_00515_00305-1","CXCL14"
"s_008um_00618_00638-1","CXCL14"
"s_008um_00089_00328-1","CXCL14"
"s_008um_00588_00351-1","CXCL14"
"s_008um_00319_00095-1","CXCL14"
"s_008um_00321_00680-1","CXCL14"
"s_008um_00400_00737-1","CXCL14"
"s_008um_00625_00492-1","CXCL14"
"s_008um_00552_00128-1","CXCL14"
"s_008um_00706_00710-1","CXCL14"
"s_008um_00492_00635-1","CXCL14"
"s_008um_00615_00636-1","CXCL14"
"s_008um_00595_00166-1","CXCL14"
"s_008um_00203_00668-1","CXCL14"
"s_008um_00500_00572-1","CXCL14"
"s_008um_00182_00635-1","CXCL14"
"s_008um_00131_00779-1","CXCL14"
"s_008um_00568_00139-1","CXCL14"
"s_008um_00589_00678-1","CXCL14"
"s_008um_00592_00329-1","CXCL14"
"s_008um_00682_00648-1","CXCL14"
"s_008um_00472_00363-1","CXCL14"
"s_008um_00471_00217-1","CXCL14"
"s_008um_00156_00525-1","CXCL14"
"s_008um_00472_00307-1","CXCL14"
"s_008um_00358_00195-1","CXCL14"
"s_008um_00542_00033-1","CXCL14"
"s_008um_00452_00438-1","CXCL14"
"s_008um_00705_00634-1","CXCL14"
"s_008um_00207_00804-1","CXCL14"
"s_008um_00365_00753-1","CXCL14"
"s_008um_00112_00610-1","CXCL14"
"s_008um_00579_00382-1","CXCL14"
"s_008um_00138_00753-1","CXCL14"
"s_008um_00459_00371-1","CXCL14"
"s_008um_00466_00114-1","CXCL14"
"s_008um_00200_00691-1","CXCL14"
"s_008um_00475_00155-1","CXCL14"
"s_008um_00496_00060-1","CXCL14"
"s_008um_00285_00299-1","CXCL14"
"s_008um_00543_00100-1","CXCL14"
"s_008um_00346_00749-1","CXCL14"
"s_008um_00353_00180-1","CXCL14"
"s_008um_00584_00152-1","CXCL14"
"s_008um_00352_00182-1","CXCL14"
"s_008um_00533_00033-1","CXCL14"
"s_008um_00455_00733-1","CXCL14"
"s_008um_00284_00732-1","CXCL14"
"s_008um_00190_00669-1","CXCL14"
"s_008um_00518_00017-1","CXCL14"
"s_008um_00429_00372-1","CXCL14"
"s_008um_00175_00771-1","CXCL14"
"s_008um_00128_00709-1","CXCL14"
"s_008um_00381_00399-1","CXCL14"
"s_008um_00724_00664-1","CXCL14"
"s_008um_00187_00543-1","CXCL14"
"s_008um_00551_00626-1","CXCL14"
"s_008um_00621_00470-1","CXCL14"
"s_008um_00496_00605-1","CXCL14"
"s_008um_00628_00584-1","CXCL14"
"s_008um_00258_00005-1","CXCL14"
"s_008um_00578_00235-1","CXCL14"
"s_008um_00659_00613-1","CXCL14"
"s_008um_00611_00185-1","CXCL14"
"s_008um_00541_00562-1","CXCL14"
"s_008um_00493_00126-1","CXCL14"
"s_008um_00302_00073-1","CXCL14"
"s_008um_00611_00514-1","CXCL14"
"s_008um_00556_00594-1","CXCL14"
"s_008um_00084_00780-1","CXCL14"
"s_008um_00593_00127-1","CXCL14"
"s_008um_00202_00651-1","CXCL14"
"s_008um_00363_00306-1","CXCL14"
"s_008um_00595_00073-1","CXCL14"
"s_008um_00330_00259-1","CXCL14"
"s_008um_00374_00727-1","CXCL14"
"s_008um_00511_00732-1","CXCL14"
"s_008um_00454_00603-1","CXCL14"
"s_008um_00579_00401-1","CXCL14"
"s_008um_00530_00185-1","CXCL14"
"s_008um_00683_00773-1","CXCL14"
"s_008um_00364_00328-1","CXCL14"
"s_008um_00512_00678-1","CXCL14"
"s_008um_00493_00198-1","CXCL14"
"s_008um_00322_00268-1","CXCL14"
"s_008um_00113_00669-1","CXCL14"
"s_008um_00000_00516-1","CXCL14"
"s_008um_00221_00033-1","CXCL14"
"s_008um_00258_00106-1","CXCL14"
"s_008um_00323_00149-1","CXCL14"
