"Barcode","Genes"
"s_008um_00551_00248-1","IGFBP5"
"s_008um_00383_00515-1","IGFBP5"
"s_008um_00345_00721-1","IGFBP5"
"s_008um_00289_00701-1","IGFBP5"
"s_008um_00118_00512-1","IGFBP5"
"s_008um_00069_00168-1","IGFBP5"
"s_008um_00198_00335-1","IGFBP5"
"s_008um_00383_00182-1","IGFBP5"
"s_008um_00211_00285-1","IGFBP5"
"s_008um_00586_00729-1","IGFBP5"
"s_008um_00250_00364-1","IGFBP5"
"s_008um_00491_00144-1","IGFBP5"
"s_008um_00288_00060-1","IGFBP5"
"s_008um_00215_00489-1","IGFBP5"
"s_008um_00220_00285-1","IGFBP5"
"s_008um_00612_00186-1","IGFBP5"
"s_008um_00271_00053-1","IGFBP5"
"s_008um_00202_00288-1","IGFBP5"
"s_008um_00416_00445-1","IGFBP5"
"s_008um_00233_00108-1","IGFBP5"
"s_008um_00188_00698-1","IGFBP5"
"s_008um_00241_00396-1","IGFBP5"
"s_008um_00133_00493-1","IGFBP5"
"s_008um_00456_00123-1","IGFBP5"
"s_008um_00587_00369-1","IGFBP5"
"s_008um_00313_00532-1","IGFBP5"
"s_008um_00315_00153-1","IGFBP5"
"s_008um_00333_00228-1","IGFBP5"
"s_008um_00174_00038-1","IGFBP5"
"s_008um_00223_00147-1","IGFBP5"
"s_008um_00307_00524-1","IGFBP5"
"s_008um_00254_00331-1","IGFBP5"
"s_008um_00160_00013-1","IGFBP5"
"s_008um_00219_00136-1","IGFBP5"
"s_008um_00302_00357-1","IGFBP5"
"s_008um_00159_00292-1","IGFBP5"
"s_008um_00453_00055-1","IGFBP5"
"s_008um_00340_00195-1","IGFBP5"
"s_008um_00649_00621-1","IGFBP5"
"s_008um_00368_00289-1","IGFBP5"
"s_008um_00234_00051-1","IGFBP5"
"s_008um_00486_00503-1","IGFBP5"
"s_008um_00017_00157-1","IGFBP5"
"s_008um_00678_00632-1","IGFBP5"
"s_008um_00678_00430-1","IGFBP5"
"s_008um_00271_00552-1","IGFBP5"
"s_008um_00398_00296-1","IGFBP5"
"s_008um_00118_00637-1","IGFBP5"
"s_008um_00059_00072-1","IGFBP5"
"s_008um_00043_00426-1","IGFBP5"
"s_008um_00231_00131-1","IGFBP5"
"s_008um_00299_00499-1","IGFBP5"
"s_008um_00376_00342-1","IGFBP5"
"s_008um_00155_00078-1","IGFBP5"
"s_008um_00389_00247-1","IGFBP5"
"s_008um_00394_00024-1","IGFBP5"
"s_008um_00464_00334-1","IGFBP5"
"s_008um_00420_00418-1","IGFBP5"
"s_008um_00190_00335-1","IGFBP5"
"s_008um_00362_00233-1","IGFBP5"
"s_008um_00222_00698-1","IGFBP5"
"s_008um_00370_00581-1","IGFBP5"
"s_008um_00180_00823-1","IGFBP5"
"s_008um_00424_00129-1","IGFBP5"
"s_008um_00259_00002-1","IGFBP5"
"s_008um_00078_00458-1","IGFBP5"
"s_008um_00345_00211-1","IGFBP5"
"s_008um_00116_00483-1","IGFBP5"
"s_008um_00421_00617-1","IGFBP5"
"s_008um_00205_00446-1","IGFBP5"
"s_008um_00203_00041-1","IGFBP5"
"s_008um_00214_00211-1","IGFBP5"
"s_008um_00438_00229-1","IGFBP5"
"s_008um_00273_00542-1","IGFBP5"
"s_008um_00326_00134-1","IGFBP5"
"s_008um_00420_00300-1","IGFBP5"
"s_008um_00288_00192-1","IGFBP5"
"s_008um_00144_00529-1","IGFBP5"
"s_008um_00190_00348-1","IGFBP5"
"s_008um_00220_00311-1","IGFBP5"
"s_008um_00067_00160-1","IGFBP5"
"s_008um_00262_00497-1","IGFBP5"
"s_008um_00475_00300-1","IGFBP5"
"s_008um_00538_00261-1","IGFBP5"
"s_008um_00589_00629-1","IGFBP5"
"s_008um_00333_00225-1","IGFBP5"
"s_008um_00376_00359-1","IGFBP5"
"s_008um_00467_00107-1","IGFBP5"
"s_008um_00372_00569-1","IGFBP5"
"s_008um_00260_00330-1","IGFBP5"
"s_008um_00157_00495-1","IGFBP5"
"s_008um_00453_00297-1","IGFBP5"
"s_008um_00623_00485-1","IGFBP5"
