"Barcode","Genes"
"s_008um_00526_00291-1","CXCL3"
"s_008um_00455_00433-1","CXCL3"
"s_008um_00314_00719-1","CXCL3"
"s_008um_00285_00712-1","CXCL3"
"s_008um_00541_00215-1","CXCL3"
"s_008um_00196_00202-1","CXCL3"
"s_008um_00744_00509-1","CXCL3"
"s_008um_00541_00411-1","CXCL3"
"s_008um_00664_00731-1","CXCL3"
"s_008um_00271_00792-1","CXCL3"
"s_008um_00078_00679-1","CXCL3"
"s_008um_00105_00764-1","CXCL3"
"s_008um_00512_00706-1","CXCL3"
"s_008um_00599_00827-1","CXCL3"
"s_008um_00226_00677-1","CXCL3"
"s_008um_00525_00017-1","CXCL3"
"s_008um_00678_00719-1","CXCL3"
"s_008um_00547_00615-1","CXCL3"
"s_008um_00226_00708-1","CXCL3"
"s_008um_00261_00005-1","CXCL3"
"s_008um_00413_00671-1","CXCL3"
"s_008um_00473_00412-1","CXCL3"
"s_008um_00321_00554-1","CXCL3"
"s_008um_00511_00553-1","CXCL3"
"s_008um_00601_00101-1","CXCL3"
"s_008um_00594_00632-1","CXCL3"
"s_008um_00617_00525-1","CXCL3"
"s_008um_00588_00581-1","CXCL3"
"s_008um_00342_00680-1","CXCL3"
"s_008um_00100_00758-1","CXCL3"
"s_008um_00117_00728-1","CXCL3"
"s_008um_00152_00740-1","CXCL3"
"s_008um_00587_00015-1","CXCL3"
"s_008um_00268_00792-1","CXCL3"
"s_008um_00532_00609-1","CXCL3"
"s_008um_00186_00703-1","CXCL3"
"s_008um_00538_00086-1","CXCL3"
"s_008um_00410_00623-1","CXCL3"
"s_008um_00557_00440-1","CXCL3"
"s_008um_00083_00794-1","CXCL3"
"s_008um_00682_00625-1","CXCL3"
"s_008um_00180_00682-1","CXCL3"
"s_008um_00645_00646-1","CXCL3"
"s_008um_00322_00726-1","CXCL3"
"s_008um_00683_00569-1","CXCL3"
"s_008um_00593_00631-1","CXCL3"
"s_008um_00714_00554-1","CXCL3"
"s_008um_00318_00735-1","CXCL3"
"s_008um_00320_00752-1","CXCL3"
"s_008um_00244_00550-1","CXCL3"
"s_008um_00268_00831-1","CXCL3"
"s_008um_00482_00019-1","CXCL3"
"s_008um_00335_00615-1","CXCL3"
"s_008um_00492_00550-1","CXCL3"
"s_008um_00069_00671-1","CXCL3"
"s_008um_00460_00549-1","CXCL3"
"s_008um_00312_00775-1","CXCL3"
"s_008um_00627_00579-1","CXCL3"
"s_008um_00587_00245-1","CXCL3"
"s_008um_00484_00559-1","CXCL3"
"s_008um_00594_00468-1","CXCL3"
"s_008um_00681_00448-1","CXCL3"
"s_008um_00019_00834-1","CXCL3"
"s_008um_00079_00794-1","CXCL3"
"s_008um_00688_00568-1","CXCL3"
"s_008um_00669_00724-1","CXCL3"
"s_008um_00123_00682-1","CXCL3"
"s_008um_00260_00341-1","CXCL3"
"s_008um_00635_00518-1","CXCL3"
"s_008um_00347_00550-1","CXCL3"
"s_008um_00351_00703-1","CXCL3"
"s_008um_00665_00754-1","CXCL3"
"s_008um_00686_00566-1","CXCL3"
"s_008um_00636_00718-1","CXCL3"
"s_008um_00374_00796-1","CXCL3"
"s_008um_00654_00790-1","CXCL3"
"s_008um_00777_00505-1","CXCL3"
"s_008um_00479_00768-1","CXCL3"
"s_008um_00626_00796-1","CXCL3"
