"Barcode","Genes"
"s_008um_00387_00431-1","GREM1"
"s_008um_00313_00369-1","GREM1"
"s_008um_00698_00734-1","GREM1"
"s_008um_00202_00359-1","GREM1"
"s_008um_00318_00092-1","GREM1"
"s_008um_00236_00129-1","GREM1"
"s_008um_00297_00405-1","GREM1"
"s_008um_00266_00193-1","GREM1"
"s_008um_00445_00243-1","GREM1"
"s_008um_00167_00243-1","GREM1"
"s_008um_00189_00293-1","GREM1"
"s_008um_00242_00383-1","GREM1"
"s_008um_00205_00045-1","GREM1"
"s_008um_00351_00402-1","GREM1"
"s_008um_00413_00357-1","GREM1"
"s_008um_00372_00424-1","GREM1"
"s_008um_00736_00504-1","GREM1"
"s_008um_00210_00120-1","GREM1"
"s_008um_00393_00202-1","GREM1"
"s_008um_00068_00338-1","GREM1"
"s_008um_00053_00289-1","GREM1"
"s_008um_00226_00103-1","GREM1"
"s_008um_00336_00382-1","GREM1"
"s_008um_00305_00394-1","GREM1"
"s_008um_00346_00386-1","GREM1"
"s_008um_00214_00112-1","GREM1"
"s_008um_00318_00464-1","GREM1"
"s_008um_00746_00499-1","GREM1"
"s_008um_00414_00368-1","GREM1"
"s_008um_00387_00117-1","GREM1"
"s_008um_00435_00249-1","GREM1"
"s_008um_00116_00470-1","GREM1"
"s_008um_00445_00470-1","GREM1"
"s_008um_00242_00142-1","GREM1"
"s_008um_00130_00804-1","GREM1"
"s_008um_00129_00387-1","GREM1"
"s_008um_00390_00543-1","GREM1"
"s_008um_00386_00334-1","GREM1"
"s_008um_00429_00348-1","GREM1"
"s_008um_00300_00090-1","GREM1"
"s_008um_00093_00397-1","GREM1"
"s_008um_00238_00375-1","GREM1"
"s_008um_00328_00363-1","GREM1"
"s_008um_00303_00078-1","GREM1"
"s_008um_00367_00293-1","GREM1"
"s_008um_00150_00288-1","GREM1"
"s_008um_00271_00423-1","GREM1"
"s_008um_00240_00335-1","GREM1"
"s_008um_00484_00236-1","GREM1"
"s_008um_00153_00072-1","GREM1"
"s_008um_00408_00145-1","GREM1"
"s_008um_00153_00274-1","GREM1"
"s_008um_00033_00316-1","GREM1"
"s_008um_00343_00104-1","GREM1"
"s_008um_00425_00249-1","GREM1"
"s_008um_00129_00249-1","GREM1"
"s_008um_00498_00507-1","GREM1"
"s_008um_00431_00329-1","GREM1"
"s_008um_00430_00363-1","GREM1"
"s_008um_00356_00364-1","GREM1"
"s_008um_00561_00559-1","GREM1"
"s_008um_00089_00476-1","GREM1"
"s_008um_00222_00068-1","GREM1"
"s_008um_00329_00428-1","GREM1"
"s_008um_00221_00408-1","GREM1"
"s_008um_00417_00107-1","GREM1"
"s_008um_00471_00232-1","GREM1"
"s_008um_00149_00468-1","GREM1"
"s_008um_00328_00612-1","GREM1"
"s_008um_00444_00175-1","GREM1"
"s_008um_00421_00534-1","GREM1"
"s_008um_00281_00395-1","GREM1"
"s_008um_00754_00505-1","GREM1"
"s_008um_00050_00300-1","GREM1"
"s_008um_00164_00308-1","GREM1"
"s_008um_00365_00106-1","GREM1"
"s_008um_00165_00287-1","GREM1"
"s_008um_00271_00403-1","GREM1"
"s_008um_00283_00416-1","GREM1"
"s_008um_00035_00487-1","GREM1"
"s_008um_00403_00427-1","GREM1"
"s_008um_00419_00141-1","GREM1"
"s_008um_00388_00221-1","GREM1"
"s_008um_00261_00061-1","GREM1"
"s_008um_00044_00438-1","GREM1"
"s_008um_00153_00136-1","GREM1"
"s_008um_00217_00450-1","GREM1"
"s_008um_00448_00314-1","GREM1"
"s_008um_00413_00176-1","GREM1"
"s_008um_00009_00491-1","GREM1"
"s_008um_00217_00325-1","GREM1"
"s_008um_00142_00226-1","GREM1"
"s_008um_00059_00068-1","GREM1"
"s_008um_00146_00583-1","GREM1"
"s_008um_00228_00416-1","GREM1"
"s_008um_00357_00579-1","GREM1"
"s_008um_00151_00142-1","GREM1"
"s_008um_00076_00475-1","GREM1"
"s_008um_00139_00311-1","GREM1"
"s_008um_00250_00332-1","GREM1"
"s_008um_00352_00402-1","GREM1"
"s_008um_00398_00152-1","GREM1"
"s_008um_00375_00433-1","GREM1"
"s_008um_00006_00119-1","GREM1"
"s_008um_00528_00593-1","GREM1"
"s_008um_00313_00458-1","GREM1"
"s_008um_00325_00086-1","GREM1"
"s_008um_00147_00158-1","GREM1"
"s_008um_00334_00415-1","GREM1"
"s_008um_00341_00344-1","GREM1"
"s_008um_00206_00455-1","GREM1"
"s_008um_00157_00397-1","GREM1"
"s_008um_00408_00299-1","GREM1"
"s_008um_00352_00095-1","GREM1"
"s_008um_00413_00207-1","GREM1"
"s_008um_00185_00359-1","GREM1"
"s_008um_00399_00464-1","GREM1"
"s_008um_00362_00250-1","GREM1"
"s_008um_00405_00179-1","GREM1"
"s_008um_00423_00256-1","GREM1"
"s_008um_00203_00318-1","GREM1"
"s_008um_00326_00115-1","GREM1"
"s_008um_00344_00156-1","GREM1"
"s_008um_00565_00368-1","GREM1"
"s_008um_00411_00245-1","GREM1"
"s_008um_00436_00289-1","GREM1"
"s_008um_00092_00462-1","GREM1"
"s_008um_00290_00376-1","GREM1"
"s_008um_00375_00467-1","GREM1"
"s_008um_00197_00331-1","GREM1"
"s_008um_00174_00237-1","GREM1"
"s_008um_00396_00762-1","GREM1"
"s_008um_00254_00396-1","GREM1"
"s_008um_00170_00135-1","GREM1"
"s_008um_00169_00194-1","GREM1"
"s_008um_00105_00465-1","GREM1"
"s_008um_00383_00299-1","GREM1"
"s_008um_00378_00405-1","GREM1"
"s_008um_00257_00350-1","GREM1"
"s_008um_00308_00420-1","GREM1"
"s_008um_00426_00292-1","GREM1"
"s_008um_00077_00427-1","GREM1"
"s_008um_00138_00078-1","GREM1"
"s_008um_00442_00193-1","GREM1"
"s_008um_00244_00331-1","GREM1"
"s_008um_00307_00375-1","GREM1"
"s_008um_00265_00394-1","GREM1"
"s_008um_00363_00111-1","GREM1"
"s_008um_00226_00341-1","GREM1"
"s_008um_00397_00204-1","GREM1"
"s_008um_00355_00287-1","GREM1"
"s_008um_00101_00478-1","GREM1"
"s_008um_00244_00715-1","GREM1"
"s_008um_00225_00372-1","GREM1"
"s_008um_00453_00483-1","GREM1"
"s_008um_00378_00161-1","GREM1"
"s_008um_00379_00214-1","GREM1"
"s_008um_00407_00218-1","GREM1"
"s_008um_00272_00417-1","GREM1"
"s_008um_00407_00125-1","GREM1"
"s_008um_00292_00454-1","GREM1"
"s_008um_00196_00379-1","GREM1"
"s_008um_00312_00103-1","GREM1"
"s_008um_00470_00498-1","GREM1"
"s_008um_00408_00199-1","GREM1"
"s_008um_00075_00331-1","GREM1"
"s_008um_00341_00383-1","GREM1"
"s_008um_00217_00063-1","GREM1"
"s_008um_00251_00332-1","GREM1"
"s_008um_00335_00360-1","GREM1"
"s_008um_00259_00452-1","GREM1"
