"Barcode","Genes"
"s_008um_00547_00709-1","HTRA3"
"s_008um_00457_00448-1","HTRA3"
"s_008um_00575_00114-1","HTRA3"
"s_008um_00317_00166-1","HTRA3"
"s_008um_00361_00235-1","HTRA3"
"s_008um_00260_00495-1","HTRA3"
"s_008um_00246_00130-1","HTRA3"
"s_008um_00407_00302-1","HTRA3"
"s_008um_00042_00481-1","HTRA3"
"s_008um_00628_00475-1","HTRA3"
"s_008um_00186_00146-1","HTRA3"
"s_008um_00618_00157-1","HTRA3"
"s_008um_00545_00720-1","HTRA3"
"s_008um_00395_00026-1","HTRA3"
"s_008um_00300_00090-1","HTRA3"
"s_008um_00093_00397-1","HTRA3"
"s_008um_00350_00065-1","HTRA3"
"s_008um_00437_00200-1","HTRA3"
"s_008um_00665_00616-1","HTRA3"
"s_008um_00196_00725-1","HTRA3"
"s_008um_00510_00090-1","HTRA3"
"s_008um_00138_00377-1","HTRA3"
"s_008um_00480_00275-1","HTRA3"
"s_008um_00555_00233-1","HTRA3"
"s_008um_00238_00714-1","HTRA3"
"s_008um_00179_00823-1","HTRA3"
"s_008um_00351_00257-1","HTRA3"
"s_008um_00381_00288-1","HTRA3"
"s_008um_00430_00363-1","HTRA3"
"s_008um_00561_00559-1","HTRA3"
"s_008um_00469_00374-1","HTRA3"
"s_008um_00445_00176-1","HTRA3"
"s_008um_00639_00575-1","HTRA3"
"s_008um_00447_00132-1","HTRA3"
"s_008um_00739_00600-1","HTRA3"
"s_008um_00555_00742-1","HTRA3"
"s_008um_00213_00281-1","HTRA3"
"s_008um_00666_00435-1","HTRA3"
"s_008um_00169_00698-1","HTRA3"
"s_008um_00686_00458-1","HTRA3"
"s_008um_00754_00505-1","HTRA3"
"s_008um_00329_00134-1","HTRA3"
"s_008um_00059_00339-1","HTRA3"
"s_008um_00273_00646-1","HTRA3"
"s_008um_00257_00057-1","HTRA3"
"s_008um_00104_00718-1","HTRA3"
"s_008um_00411_00439-1","HTRA3"
"s_008um_00230_00311-1","HTRA3"
"s_008um_00223_00059-1","HTRA3"
"s_008um_00508_00192-1","HTRA3"
"s_008um_00378_00395-1","HTRA3"
"s_008um_00282_00258-1","HTRA3"
"s_008um_00365_00376-1","HTRA3"
"s_008um_00002_00769-1","HTRA3"
"s_008um_00392_00185-1","HTRA3"
"s_008um_00340_00214-1","HTRA3"
"s_008um_00315_00636-1","HTRA3"
