"Barcode","Genes"
"s_008um_00448_00168-1","IGFBP3"
"s_008um_00704_00507-1","IGFBP3"
"s_008um_00531_00774-1","IGFBP3"
"s_008um_00340_00369-1","IGFBP3"
"s_008um_00593_00720-1","IGFBP3"
"s_008um_00130_00576-1","IGFBP3"
"s_008um_00746_00598-1","IGFBP3"
"s_008um_00545_00761-1","IGFBP3"
"s_008um_00392_00226-1","IGFBP3"
"s_008um_00358_00195-1","IGFBP3"
"s_008um_00307_00089-1","IGFBP3"
"s_008um_00602_00790-1","IGFBP3"
"s_008um_00373_00169-1","IGFBP3"
"s_008um_00001_00107-1","IGFBP3"
"s_008um_00112_00610-1","IGFBP3"
"s_008um_00277_00160-1","IGFBP3"
"s_008um_00231_00336-1","IGFBP3"
"s_008um_00342_00348-1","IGFBP3"
"s_008um_00400_00339-1","IGFBP3"
"s_008um_00220_00160-1","IGFBP3"
"s_008um_00273_00420-1","IGFBP3"
"s_008um_00616_00184-1","IGFBP3"
"s_008um_00618_00467-1","IGFBP3"
"s_008um_00350_00328-1","IGFBP3"
"s_008um_00737_00457-1","IGFBP3"
"s_008um_00353_00180-1","IGFBP3"
"s_008um_00352_00182-1","IGFBP3"
"s_008um_00386_00234-1","IGFBP3"
"s_008um_00356_00186-1","IGFBP3"
"s_008um_00363_00214-1","IGFBP3"
"s_008um_00316_00078-1","IGFBP3"
"s_008um_00400_00290-1","IGFBP3"
"s_008um_00646_00736-1","IGFBP3"
"s_008um_00420_00338-1","IGFBP3"
"s_008um_00331_00082-1","IGFBP3"
"s_008um_00379_00252-1","IGFBP3"
"s_008um_00577_00617-1","IGFBP3"
"s_008um_00259_00811-1","IGFBP3"
"s_008um_00130_00299-1","IGFBP3"
"s_008um_00659_00613-1","IGFBP3"
"s_008um_00229_00322-1","IGFBP3"
"s_008um_00302_00073-1","IGFBP3"
"s_008um_00126_00579-1","IGFBP3"
"s_008um_00712_00697-1","IGFBP3"
"s_008um_00078_00459-1","IGFBP3"
"s_008um_00328_00148-1","IGFBP3"
"s_008um_00272_00143-1","IGFBP3"
"s_008um_00380_00219-1","IGFBP3"
"s_008um_00309_00103-1","IGFBP3"
"s_008um_00355_00184-1","IGFBP3"
"s_008um_00512_00678-1","IGFBP3"
"s_008um_00388_00403-1","IGFBP3"
"s_008um_00579_00379-1","IGFBP3"
"s_008um_00264_00413-1","IGFBP3"
"s_008um_00382_00184-1","IGFBP3"
"s_008um_00510_00326-1","IGFBP3"
"s_008um_00406_00380-1","IGFBP3"
"s_008um_00679_00602-1","IGFBP3"
"s_008um_00432_00331-1","IGFBP3"
